Location, Longitude,Latitude
Adrian MI,-84.0372,41.8976
Akron OH,-81.519,41.0814
Albany-Schenectady-Troy NY,-73.7949,42.6526
Albertville AL,-86.208,34.267
Albuquerque NM,-106.6504,35.0844
Allentown-Bethlehem-Easton PA-NJ,-75.4783,40.6519
Amsterdam NY,-74.186,42.9376
Anchorage AK,-149.9003,61.2181
Ann Arbor MI,-83.743,42.2808
Asheville NC,-82.554,35.5951
Athens-Clarke County GA,-83.3527,33.9519
Atlanta,-84.3879,33.749
Auburn-Opelika AL,-85.3589,32.6086
Augusta-Richmond County GA-SC,-81.9748,33.4735
Austin,-97.7431,30.25
Bakersfield CA,-119.0187,35.3733
Baltimore,-76.6144,39.2904
Barnstable Town MA,-70.3002,41.7003
Baton Rouge LA,-91.1871,30.4515
Bay City MI,-83.8889,43.5945
Beaumont-Port Arthur TX,-93.98,30.0828
Beaver Dam WI,-88.8375,43.4578
Bellingham WA,-122.4781,48.7491
Bend-Redmond OR,-121.3153,44.0682
Billings MT,-108.5007,45.7833
Binghamton NY,-75.917,42.0987
Birmingham-Hoover AL,-86.8025,33.5207
Bismarck ND,-100.7837,46.8083
Blacksburg-Christiansburg-Radford VA,-80.4131,37.2284
Bloomington IN,-86.5264,39.1653
Bluefield WV-VA,-81.1904,37.2698
Boise City ID,-116.2146,43.615
Boone NC,-81.6749,36.2168
Borger TX,-101.4011,35.6678
Boston,-71.0589,42.3601
Boulder CO,-105.2705,40.015
Bowling Green KY,-86.4436,36.9694
Bozeman MT,-111.044,45.6769
Brainerd MN,-94.2008,46.3527
Breckenridge CO,-106.0379,39.4817
Brevard NC,-82.7343,35.2335
Bridgeport-Stamford-Norwalk CT,-73.2167,41.1865
Buffalo-Cheektowaga-Niagara Falls NY,-78.8784,42.8864
Burley ID,-113.7928,42.535
Burlington-South Burlington VT,-73.2125,44.4759
Calhoun GA,-84.9511,34.5026
California-Lexington Park MD,-76.4662,38.2856
Cape Coral-Fort Myers FL,-81.9495,26.5629
Carson City NV,-119.7674,39.1638
Cedar Rapids IA,-91.6656,41.9779
Chambersburg-Waynesboro PA,-77.593,39.9376
Champaign-Urbana IL,-88.2412,40.1164
Charleston-North Charleston SC,-79.943,32.7765
Charlotte,-80.8431,35.2271
Charlottesville VA,-78.4767,38.0293
Chattanooga TN-GA,-85.3097,35.0456
Cheyenne WY,-104.8202,41.1399
Chicago,-87.6298,41.8781
Cincinnati,-84.512,39.1031
Claremont-Lebanon NH-VT,-72.3376,43.6423
Clarksburg WV,-80.3464,39.2807
Cleveland,-81.6944,41.4993
Coeur d'Alene ID,-116.7805,47.6732
College Station-Bryan TX,-96.3426,30.6279
Colorado Springs CO,-104.8214,38.8339
Columbia MO,-92.3341,38.9517
Columbia SC,-81.0348,34.0007
Columbus GA-AL,-84.9877,32.46
Columbus IN,-85.9767,39.201
Columbus MS,-88.4273,33.4957
Columbus OH,-83.0007,39.9612
Corning NY,-77.0564,42.1429
Coshocton OH,-81.8584,40.272
Crestview-Fort Walton Beach-Destin FL,-86.395,30.4213
Dallas,-96.7969,32.7767
Daphne-Fairhope-Foley AL,-87.8968,30.6035
Davenport-Moline-Rock Island IA-IL,-90.5776,41.5236
Dayton OH,-84.1916,39.7589
Decatur AL,-86.9833,34.6059
Deltona-Daytona Beach-Ormond Beach FL,-81.029,29.1383
Denver,-104.9903,39.7392
Des Moines-West Des Moines IA,-93.6208,41.5868
Detroit,-83.0458,42.3314
DuBois PA,-78.7579,41.1192
Duluth MN-WI,-92.1251,46.7867
Dunn NC,-78.6115,35.306
Durham-Chapel Hill NC,-78.8986,35.994
Edwards CO,-106.569,39.6428
El Campo TX,-96.2695,29.1966
El Paso TX,-106.485,31.7619
Elkhart-Goshen IN,-85.9767,41.6819
Erie PA,-80.0851,42.1292
Eugene OR,-123.0868,44.0521
Evansville IN-KY,-87.5692,37.9716
Fairfield IA,-91.9679,41.0076
Fairmont WV,-80.1436,39.4851
Fargo ND-MN,-96.7898,46.8772
Fayetteville NC,-78.8784,35.0527
Fayetteville-Springdale-Rogers AR-MO,-94.1574,36.0822
Findlay OH,-83.6499,41.0442
Fond du Lac WI,-88.4474,43.773
Fort Collins CO,-105.0844,40.5853
Fort Wayne IN,-85.1394,41.0793
Fresno CA,-119.771,36.7372
Gainesville FL,-82.3248,29.6516
Gainesville GA,-83.8241,34.2979
Georgetown SC,-79.3175,33.3768
Gillette WY,-105.5005,44.2911
Glens Falls NY,-73.6478,43.3095
Grand Forks ND-MN,-97.0586,47.9253
Grand Rapids-Wyoming MI,-85.6681,42.9634
Green Bay WI,-88.0189,44.5133
Greeneville TN,-82.83,36.1632
Greensboro-High Point NC,-79.791,36.0726
Greenville-Anderson-Mauldin SC,-82.3523,34.8526
Hagerstown-Martinsburg MD-WV,-77.7195,39.6418
Harrisburg-Carlisle PA,-76.8837,40.2732
Hartford-West Hartford-East Hartford CT,-72.6851,41.7637
Heber UT,-111.4134,40.5071
Hickory-Lenoir-Morganton NC,-81.3445,35.7345
Hilo HI,-155.081,19.7241
Homosassa Springs FL,-82.5748,28.7969
Houston,-95.3698,29.7604
Huntsville AL,-86.585,34.7304
Hutchinson KS,-97.9298,38.0608
Idaho Falls ID,-112.0336,43.4931
Indianapolis IN,-86.1581,39.7684
Ionia MI,-85.0714,42.9876
Iowa City IA,-91.5302,41.6611
Jackson MI,-84.4013,42.2459
Jackson MS,-90.1848,32.2988
Jacksonville FL,-81.6557,30.3322
Janesville-Beloit WI,-89.0187,42.6747
